step,action
5,26
6,24
7,10
0,20
1,43
0,19
0,20
0,6
1,20
0,27
1,12
2,4
3,1
4,5
5,39
6,0
0,43
1,43
0,8
1,43
2,25
3,14
4,18
5,19
6,17
7,15
8,22
0,16
1,22
2,26
0,16
1,16
2,40
0,16
1,31
2,31
3,42
4,16
5,38
6,23
0,28
1,25
0,22
1,24
2,26
3,18
0,37
1,7
2,12
0,35
1,36
2,25
3,42
4,0
0,0
1,14
2,41
3,42
0,6
1,43
2,15
3,24
0,32
1,17
2,15
3,18
4,28
5,29
6,11
7,14
8,13
0,32
1,14
2,18
3,40
0,6
1,41
2,3
3,35
0,18
1,42
2,33
0,28
1,17
2,33
0,35
0,15
1,16
0,20
0,34
0,16
1,4
2,3
0,29
1,11
2,36
3,9
4,5
5,29
6,17
7,32
0,31
1,12
2,15
3,1
4,33
0,38
1,42
2,43
0,11
1,33
0,17
1,26
2,14
3,13
0,1
1,3
2,19
0,38
1,3
2,4
3,1
0,18
1,13
2,25
0,8
1,21
0,5
1,25
2,18
3,39
4,37
5,29
0,40
1,26
2,25
3,40
4,31
5,37
6,20
0,18
1,18
2,38
3,41
4,34
0,21
1,12
0,3
1,16
2,0
0,43
1,24
2,0
0,29
1,0
0,28
1,43
2,11
0,30
1,0
2,13
3,0
4,0
5,0
0,5
1,0
2,35
3,42
0,29
1,27
2,26
3,19
0,29
1,41
2,6
3,41
4,0
0,26
1,26
2,26
0,26
1,26
2,4
3,10
0,2
1,20
2,17
3,26
0,26
1,10
0,1
1,0
0,30
1,26
2,26
0,26
1,26
2,26
3,17
4,26
5,35
0,12
1,26
2,26
3,26
4,26
0,15
1,26
2,14
3,26
4,26
5,27
0,26
1,26
2,12
3,26
4,1
0,27
1,26
2,26
3,26
4,26
5,26
0,26
1,13
2,43
3,26
4,30
5,0
0,7
1,42
0,26
1,26
2,26
3,26
4,26
5,26
6,26
0,26
1,26
2,37
0,41
1,26
2,26
0,26
1,25
2,26
3,26
4,7
0,26
1,34
0,26
1,17
2,26
3,2
0,26
1,26
2,26
0,30
1,27
2,13
3,30
4,1
5,41
6,30
7,30
0,30
1,30
2,12
0,32
1,33
0,18
1,30
0,30
1,30
2,30
0,32
0,34
1,30
2,30
3,33
0,30
1,30
2,17
3,38
4,30
0,12
1,15
2,30
0,40
1,15
2,30
3,30
0,34
0,30
1,43
0,30
1,22
0,30
1,30
2,30
0,27
1,12
2,30
3,22
0,10
0,30
1,30
2,30
3,30
4,2
5,11
0,30
1,5
2,30
0,30
1,7
2,13
3,30
4,30
5,15
6,30
0,0
1,29
2,30
3,30
0,34
0,21
1,30
0,1
1,30
2,34
0,27
1,28
2,5
3,30
4,30
5,30
6,6
7,30
0,34
1,24
2,30
3,30
4,13
5,12
0,13
1,3
2,30
3,30
0,30
1,37
2,23
3,24
4,33
0,30
1,30
2,30
3,8
4,30
5,30
0,30
1,30
2,30
3,30
4,19
0,25
1,30
2,31
3,30
4,39
5,6
0,7
1,7
2,33
3,14
4,3
0,7
1,33
2,41
3,7
4,7
5,23
6,7
7,34
8,7
9,19
0,7
1,7
0,7
1,30
0,14
1,7
2,30
0,41
0,41
1,7
2,7
3,7
4,7
5,7
0,17
1,7
2,30
3,7
4,7
5,43
0,7
1,5
2,7
3,29
0,7
1,34
0,20
0,7
1,25
2,7
3,10
0,7
1,7
2,7
3,7
4,33
0,34
1,7
2,17
3,7
4,7
5,7
6,8
0,7
1,14
2,13
0,23
1,3
2,7
3,31
0,23
1,7
2,7
3,37
4,39
0,13
1,7
2,7
3,7
0,7
1,14
2,7
3,39
4,7
0,7
1,7
2,18
3,9
0,8
1,7
2,7
3,28
4,11
0,7
1,10
2,7
3,7
4,10
0,7
1,2
2,39
3,6
4,7
5,7
0,7
1,11
0,22
1,7
2,7
3,22
0,7
1,7
2,41
0,7
1,7
2,18
3,7
0,32
1,28
2,7
3,10
0,0
1,7
2,4
3,23
0,30
1,7
2,7
3,7
4,7
5,5
6,7
7,7
8,9
0,28
1,34
2,7
3,38
4,38
5,32
0,7
1,7
2,7
3,7
0,7
1,7
2,7
3,28
4,7
0,7
1,9
0,17
1,32
0,7
1,39
2,7
3,7
4,32
0,7
1,24
2,7
3,6
0,7
1,13
2,2
3,7
4,7
5,2
6,30
0,27
1,7
2,7
3,7
4,7
5,7
6,38
0,7
1,31
0,7
1,7
2,7
3,7
0,7
1,7
2,8
0,21
1,35
0,7
1,7
2,13
3,30
4,7
0,24
1,5
2,7
3,19
0,7
1,7
2,35
3,7
4,7
0,7
1,7
2,7
3,2
4,7
5,7
0,7
1,7
2,7
3,31
0,23
1,7
2,7
3,7
4,7
5,7
0,7
1,7
2,7
3,13
4,7
5,15
6,37
7,7
0,14
1,15
2,30
3,7
4,42
5,7
6,7
0,7
1,7
2,14
3,7
4,7
5,7
6,36
7,17
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
0,7
1,42
0,7
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,9
0,33
1,13
2,7
3,42
0,7
1,42
0,7
1,15
2,42
0,7
1,7
2,12
3,7
4,42
0,7
1,7
2,42
0,7
1,7
2,2
3,23
4,7
5,42
0,14
1,14
2,14
3,14
4,42
5,42
6,42
0,14
1,14
2,14
3,14
0,14
1,14
0,14
1,14
2,42
3,10
0,14
1,18
2,39
3,14
4,18
5,42
6,42
0,14
1,23
2,18
3,20
4,15
5,42
0,14
1,14
2,18
3,7
4,26
5,14
6,11
0,14
1,14
0,14
1,14
2,14
3,14
4,14
0,13
1,14
2,14
3,14
0,14
1,40
2,14
3,14
4,14
5,14
6,38
7,14
8,14
9,14
0,22
1,14
2,14
3,14
4,14
5,14
0,35
0,6
1,14
2,14
3,14
0,21
1,14
2,14
3,14
0,14
0,21
0,14
1,14
2,14
3,14
0,14
1,14
2,36
3,14
4,14
5,14
0,14
1,14
2,14
0,14
1,14
2,14
3,14
0,14
1,14
2,38
3,14
4,25
5,14
0,14
1,14
0,14
1,14
2,14
3,14
4,14
5,14
6,12
7,43
0,6
1,14
2,14
3,14
4,6
5,35
0,14
1,43
2,14
0,17
1,14
2,14
3,14
4,14
5,14
6,14
0,14
1,14
2,19
3,27
4,14
0,14
1,14
2,34
0,14
1,14
2,14
3,18
4,14
5,14
6,7
7,14
8,14
9,18
0,37
1,25
2,25
3,18
4,18
0,14
1,25
2,18
3,13
0,39
1,14
2,12
3,25
4,18
0,14
1,14
0,14
1,31
2,14
3,25
4,25
5,18
6,18
7,14
8,14
0,14
1,31
2,14
3,14
4,14
5,14
6,14
0,14
1,14
0,7
1,14
2,25
3,25
4,42
5,18
6,14
7,18
8,25
9,18
0,14
1,15
2,25
3,25
0,14
1,25
2,25
3,18
4,14
5,18
6,14
7,14
8,6
0,25
1,25
2,34
0,25
1,25
2,18
3,29
4,18
0,25
1,25
2,25
3,25
0,25
1,25
2,18
3,25
4,18
5,18
6,25
7,25
8,25
9,41
0,25
1,0
0,25
1,25
2,26
3,25
0,25
1,25
2,18
3,18
4,21
0,25
1,25
2,22
0,25
1,25
2,18
0,25
1,25
2,18
3,33
0,25
1,36
2,25
3,25
4,25
5,18
6,25
0,25
1,25
2,18
3,25
0,25
1,25
2,25
3,25
4,5
0,25
1,27
2,25
3,25
0,25
1,25
2,25
3,25
4,25
5,25
6,18
0,25
1,25
2,25
3,25
4,18
0,25
1,25
2,18
3,18
0,25
1,25
2,25
3,18
0,32
0,25
1,25
2,18
3,18
4,35
5,18
0,25
1,40
2,32
0,0
1,25
2,25
3,25
4,18
5,18
6,18
7,18
0,25
1,25
2,25
0,25
1,25
2,25
3,18
4,23
0,25
1,25
2,18
0,25
1,25
2,25
3,18
4,18
0,25
1,25
0,25
1,25
2,18
3,18
4,18
0,25
1,25
2,15
0,25
1,25
2,18
3,18
4,18
5,18
6,18
7,20
0,38
1,25
2,18
0,18
1,18
0,18
1,18
2,18
3,18
4,15
5,18
0,18
1,18
2,18
3,2
4,2
0,18
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,2
9,2
10,12
0,18
1,18
2,25
3,18
4,28
5,18
0,18
1,25
2,4
3,18
4,18
5,18
0,18
1,18
2,18
3,18
0,18
1,25
2,25
3,18
4,18
5,18
0,18
1,25
2,18
0,2
1,2
2,2
3,2
0,2
1,2
2,18
3,18
4,18
0,2
1,16
2,2
3,18
0,2
1,2
2,18
0,2
1,2
2,2
0,2
1,18
2,18
3,16
4,2
5,18
6,18
7,2
8,40
9,40
10,2
11,2
0,2
1,2
2,2
3,18
0,2
1,2
2,18
3,2
4,18
5,18
6,2
7,2
8,2
9,2
10,2
0,2
1,26
2,2
3,2
0,2
1,2
2,2
3,18
4,18
5,2
6,18
7,2
8,2
0,2
1,2
2,18
3,2
4,2
0,2
1,2
2,18
3,18
4,1
0,2
1,2
2,18
3,2
0,2
1,2
2,2
3,2
4,28
5,18
6,7
7,2
0,2
1,2
2,2
3,18
4,2
5,2
6,2
7,2
0,2
1,2
2,2
0,2
1,2
2,7
3,7
0,2
1,2
2,2
3,40
0,2
1,2
2,2
0,2
1,2
2,2
3,2
4,18
5,2
0,2
1,2
2,2
0,2
1,2
2,2
3,40
4,22
0,2
1,2
0,2
1,2
0,2
1,2
2,2
0,2
1,2
2,2
3,40
4,22
0,2
1,2
0,2
1,2
0,2
1,2
2,40
3,40
0,2
1,2
2,40
3,40
4,40
0,2
1,2
2,40
3,40
4,40
5,40
0,16
1,16
2,16
3,40
0,16
1,40
2,16
0,16
1,34
2,40
3,40
4,40
0,2
1,2
2,40
3,40
4,40
0,2
1,2
2,2
0,2
1,2
0,2
1,16
2,40
0,2
1,2
0,2
1,2
2,16
3,16
4,40
0,16
1,16
2,16
3,16
0,16
1,16
2,16
3,16
0,16
1,16
2,16
3,16
4,40
5,16
0,16
1,16
2,16
3,16
4,40
0,16
1,16
0,16
1,16
2,16
3,16
4,37
5,16
6,40
0,16
1,16
2,40
0,16
1,16
2,16
3,40
4,16
5,30
0,10
0,16
1,16
2,11
3,40
4,40
0,16
1,17
2,30
0,3
1,30
2,30
0,16
1,30
0,16
1,16
2,30
3,16
4,30
5,16
6,16
7,30
8,30
9,30
10,30
0,16
1,30
2,30
3,30
4,30
0,16
1,25
2,19
0,16
1,30
2,16
3,30
4,16
5,30
6,16
7,30
8,30
9,30
10,30
11,30
12,30
13,30
0,16
1,30
2,30
3,30
4,16
5,16
6,16
7,30
8,42
0,16
1,30
2,30
3,16
4,30
0,16
1,19
2,30
3,30
4,16
5,23
6,30
7,30
8,30
0,16
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
0,16
1,30
0,16
1,30
2,30
3,30
0,16
1,30
2,30
0,16
1,30
0,1
1,30
2,38
3,30
0,16
1,30
2,30
3,30
4,30
5,30
0,16
1,30
2,30
3,30
4,15
0,16
1,14
2,30
0,30
1,30
0,30
1,30
2,30
3,30
4,30
5,4
0,30
1,12
2,30
3,30
4,30
5,30
6,30
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
0,30
1,30
2,30
3,30
4,30
5,30
6,30
0,30
1,30
2,30
3,30
4,30
0,30
0,12
1,30
2,30
3,30
0,30
1,30
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
0,30
1,30
2,30
3,30
4,30
5,26
6,35
7,30
0,30
1,30
2,30
0,30
1,42
2,30
3,30
4,30
5,30
6,30
0,10
0,30
1,30
2,30
0,30
1,30
2,30
3,30
4,30
5,30
6,30
0,30
1,30
2,30
3,30
0,30
1,30
2,30
3,30
0,30
1,30
0,30
1,30
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
0,30
1,30
0,30
1,30
2,30
3,30
4,30
5,30
6,33
0,30
1,30
0,30
0,30
1,30
2,30
3,30
0,30
1,30
2,30
0,30
1,30
2,19
3,3
4,30
0,30
1,30
2,30
3,30
0,30
1,30
0,14
1,30
2,30
3,30
4,30
5,30
6,30
7,30
0,30
1,14
2,30
3,30
4,30
5,30
6,30
7,30
0,30
1,14
2,30
3,30
0,14
1,30
2,14
3,30
4,30
5,30
6,30
0,30
1,14
2,30
3,30
0,14
1,30
2,14
3,30
4,30
5,30
6,30
0,14
1,30
2,30
3,35
0,14
1,30
2,30
3,30
4,30
5,30
6,38
7,30
8,30
9,30
0,14
1,30
2,30
0,14
1,30
2,30
3,30
4,30
0,14
1,14
2,30
3,14
4,40
5,40
0,14
1,14
2,14
3,30
4,14
5,30
6,30
0,14
1,14
2,30
3,30
4,5
5,30
6,19
0,14
1,14
2,40
3,14
0,14
1,14
2,14
3,40
4,40
5,14
6,40
7,30
0,14
1,30
2,30
3,14
4,30
5,7
6,30
7,30
0,14
1,14
2,7
3,7
4,7
5,7
6,30
0,14
1,14
2,30
3,30
4,30
0,14
1,14
2,30
3,17
4,30
5,30
0,14
1,14
2,35
3,14
4,40
5,30
0,14
1,14
0,14
1,14
2,14
0,14
1,14
2,14
3,14
4,38
5,14
6,14
0,7
1,14
2,14
3,18
4,30
0,14
1,14
2,14
3,40
4,14
5,14
0,14
1,14
2,14
3,14
4,7
0,14
1,14
0,14
1,14
2,14
0,14
1,20
2,14
3,14
4,14
5,18
6,18
0,14
1,14
2,14
0,14
1,14
0,14
1,14
2,14
3,38
4,14
5,18
0,14
1,14
2,38
0,14
1,14
2,14
3,14
0,14
1,14
2,38
0,14
1,14
0,31
1,14
2,14
0,14
1,14
2,14
0,14
1,14
2,38
0,14
1,14
0,14
1,41
2,38
0,14
1,14
2,38
3,38
4,38
5,18
0,14
1,14
2,14
3,14
4,38
5,18
0,18
1,14
2,14
3,38
4,38
0,14
1,14
2,14
3,38
4,38
5,18
0,14
1,14
2,14
0,14
1,14
2,14
0,18
1,14
2,14
0,14
1,14
2,38
3,38
4,38
5,43
0,14
1,14
2,38
3,18
4,38
5,2
0,18
0,14
1,18
2,14
3,15
4,18
0,14
1,14
2,14
0,14
1,14
2,14
3,14
4,38
5,18
6,18
7,18
8,14
9,18
0,14
1,18
2,14
3,14
4,18
5,18
0,31
1,14
2,14
3,14
4,18
5,18
0,14
1,14
2,14
3,14
4,18
0,14
0,14
1,14
2,14
3,18
4,38
5,18
6,18
7,18
0,14
1,14
0,14
1,14
2,14
3,18
0,14
1,14
2,28
3,18
4,14
5,18
0,14
1,14
2,18
3,23
0,14
1,14
2,18
0,14
1,14
0,14
1,14
2,14
3,18
0,5
1,14
2,18
3,18
4,18
5,18
6,18
7,18
0,14
1,14
0,14
1,25
2,18
3,14
0,14
1,14
2,18
3,38
4,38
5,18
0,14
1,18
2,14
3,18
4,18
0,18
0,14
1,18
0,14
1,18
2,14
3,18
4,18
5,18
0,14
1,18
2,18
0,14
1,18
2,14
3,18
4,14
5,38
6,18
0,5
1,14
0,18
1,14
2,38
0,18
0,14
1,18
2,18
3,18
0,14
1,7
2,18
3,18
4,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
4,26
0,18
1,18
2,18
3,18
4,18
0,18
1,18
2,23
0,18
1,18
0,18
1,18
2,18
3,18
4,19
0,18
1,18
0,18
1,18
2,18
3,18
0,18
1,18
2,18
0,18
1,18
2,18
3,18
4,18
5,18
6,18
7,18
0,18
1,22
2,18
3,18
4,18
0,18
1,18
2,18
3,18
4,18
0,18
1,18
2,18
3,18
0,18
1,18
2,18
3,18
4,18
0,18
1,18
2,18
3,18
4,18
5,18
0,18
1,18
2,18
3,18
0,18
0,18
1,18
2,18
3,18
0,18
1,18
0,18
1,18
0,18
0,18
1,18
2,18
3,18
4,38
5,18
0,18
1,18
2,38
3,38
0,18
1,18
2,38
3,38
4,18
5,18
0,18
1,18
2,38
3,38
4,38
5,18
6,38
7,18
0,18
1,38
2,18
3,38
4,18
0,18
1,38
2,38
3,40
4,18
5,18
6,38
0,18
1,18
2,38
3,38
4,18
0,18
1,18
2,38
3,38
4,18
0,18
1,38
2,38
3,38
4,18
5,18
0,0
1,18
2,31
0,18
0,18
1,38
2,38
3,18
4,30
5,38
6,43
0,18
1,38
2,18
0,18
1,18
2,18
3,38
0,18
1,38
2,18
0,18
1,3
2,18
3,38
4,38
5,18
6,38
0,18
1,38
2,18
3,38
4,38
5,38
6,18
0,38
1,38
2,18
3,38
4,38
5,38
6,18
7,38
8,38
9,38
10,38
0,18
1,38
2,38
3,38
4,38
5,38
6,38
0,38
1,38
0,38
1,38
2,38
3,38
4,18
0,12
1,38
2,18
0,38
1,6
2,38
3,38
4,38
5,18
6,18
7,35
0,38
1,38
0,15
1,38
0,12
1,18
2,38
0,38
1,38
2,38
3,38
4,18
0,38
1,38
2,38
3,12
4,18
5,38
0,12
1,12
0,12
0,38
1,38
2,13
3,38
4,38
0,12
1,13
2,13
3,13
0,38
1,38
2,13
0,38
1,38
2,38
3,38
0,12
1,20
0,19
1,13
2,13
3,38
4,38
5,38
6,38
7,35
8,38
9,38
10,12
11,13
12,13
13,13
0,38
1,13
2,38
3,13
4,38
5,12
6,12
0,12
1,35
2,38
3,38
4,38
5,12
0,38
1,13
2,38
3,13
0,12
1,1
0,12
1,13
2,13
3,18
4,13
5,14
6,12
0,12
1,38
2,13
3,38
4,38
5,12
0,12
1,13
2,13
3,13
0,12
1,13
2,38
3,13
0,12
1,38
2,38
3,38
4,13
5,12
0,12
1,12
0,38
1,12
2,38
3,38
4,13
5,38
6,38
7,38
8,38
0,12
1,38
2,13
0,12
1,12
2,21
0,12
1,13
0,3
1,38
2,12
0,38
1,12
2,38
3,38
4,13
5,13
0,12
1,12
2,13
3,38
4,13
5,12
0,12
0,12
1,12
2,38
3,12
4,29
0,12
1,12
0,12
1,13
2,13
3,20
0,12
0,12
1,38
2,42
3,38
4,21
0,12
1,38
2,38
3,13
0,38
1,38
2,13
0,12
1,38
2,38
3,38
4,12
0,38
1,38
2,38
3,38
4,38
5,41
0,38
1,12
2,38
3,38
4,13
0,38
1,38
2,38
3,38
4,38
5,10
6,38
7,38
0,12
1,38
2,12
3,12
0,12
1,38
2,38
3,12
4,26
5,38
0,38
1,12
2,13
3,12
4,13
5,38
0,12
1,12
0,12
1,38
2,12
3,38
4,17
5,38
6,38
0,12
0,12
1,38
2,38
3,38
0,12
1,12
0,38
1,12
0,12
0,12
1,12
0,12
1,12
2,38
3,38
4,38
5,12
0,12
1,12
0,38
1,38
2,38
0,12
1,38
2,38
3,38
4,38
0,38
1,38
2,38
0,12
1,38
2,38
3,38
4,38
5,38
6,38
7,38
8,38
0,38
1,12
0,38
1,12
2,38
3,38
4,38
5,38
0,38
1,31
2,38
3,38
4,38
5,38
6,38
7,38
0,38
1,12
2,16
0,38
1,38
2,12
3,38
4,12
5,38
6,38
7,38
8,38
0,30
1,38
2,38
3,12
0,12
0,12
0,12
0,12
1,12
0,12
0,12
1,38
2,38
3,38
4,38
5,38
6,12
7,4
0,12
1,12
2,38
3,38
4,38
5,12
6,38
7,38
8,38
9,38
10,38
11,12
0,12
0,0
0,12
0,1
1,12
2,38
3,25
4,12
0,12
1,12
2,38
3,38
4,12
5,38
6,12
7,12
8,12
9,12
0,12
1,38
2,12
3,38
4,38
5,12
6,12
7,12
0,12
1,12
0,12
1,12
2,38
3,38
4,38
0,12
1,12
2,12
0,12
1,12
0,12
0,12
1,38
2,12
0,12
1,12
0,12
1,12
0,12
0,12
1,38
2,22
3,38
4,38
0,12
1,12
2,12
3,12
0,12
1,12
2,12
0,12
1,7
2,12
3,12
4,12
5,12
0,12
1,12
2,38
3,12
4,38
0,12
1,38
2,12
3,7
4,7
5,12
0,12
1,12
2,12
3,23
0,12
0,12
1,12
2,38
3,38
4,12
5,7
6,38
7,27
8,38
9,38
10,38
11,38
12,12
0,12
1,12
2,12
0,12
1,12
2,12
3,38
4,38
5,12
0,12
1,12
2,12
3,12
4,12
5,12
0,12
1,12
2,38
3,38
4,12
0,12
1,12
2,12
0,12
0,12
1,12
0,12
1,12
2,12
3,38
0,12
1,38
2,12
3,38
4,12
5,12
0,12
1,38
2,38
3,38
4,38
0,25
1,12
2,38
3,38
4,13
5,38
6,38
7,38
0,25
1,12
2,38
3,38
4,38
0,12
1,12
0,12
1,38
2,38
3,38
4,38
5,38
6,38
7,38
8,38
9,38
10,12
0,12
1,12
2,38
3,38
4,12
0,12
1,12
2,38
3,12
0,12
0,12
1,38
2,38
3,38
4,38
5,38
6,38
7,38
8,40
0,12
1,12
2,38
3,38
4,38
5,38
6,12
7,7
0,12
1,38
2,38
3,12
0,12
0,12
1,38
2,13
3,13
0,12
1,34
2,12
3,38
4,12
0,25
1,12
0,12
0,12
1,38
2,38
3,38
4,12
5,38
0,12
1,38
2,38
3,13
0,12
1,38
2,38
3,38
4,13
5,7
6,38
7,11
0,12
0,12
1,12
0,25
1,12
0,12
1,12
0,43
0,12
0,12
1,12
2,38
3,38
4,12
0,25
1,12
2,12
0,25
1,12
2,12
0,12
1,3
2,1
0,12
1,12
2,13
3,38
4,38
5,12
6,12
7,12
0,25
1,25
2,12
0,25
1,25
0,25
1,12
0,12
0,25
